| 第1年春第60日8:00:00 上午 | 紧急避难所 | 111一行开始了他们在大灾变中的冒险。
| 第1年春第61日7:04:35 上午 | 废弃仓库 | 磨损的 <color_c_dark_gray>XX </color>背包 被彻底摧毁了。
| 第1年春第61日7:28:08 上午 | 流浪者收容所 | 被深深的咬了一口。
| 第1年春第61日8:24:44 上午 | 流浪者收容所 | 磨损的 <color_c_dark_gray>XX </color>和服袴裤 被彻底摧毁了。
| 第1年春第61日9:12:33 上午 | 流浪者收容所 | 摔到了窗台下。
| 第1年春第62日5:34:58 上午 | 旷野 | 磨损的 <color_c_dark_gray>XX </color>旅行背包 被彻底摧毁了。
| 第1年春第63日6:52:25 上午 | 民宅 | 被深深的咬了一口。
| 第1年春第63日7:00:22 上午 | 民宅 | 被深深的咬了一口。
| 第1年春第63日7:03:15 上午 | 民宅 | 磨损的 <color_c_dark_gray>XX </color>手提箱（肮脏） 被彻底摧毁了。
| 第1年春第63日7:21:34 上午 | 公路 | 磨损的 <color_c_dark_gray>XX </color>大刀鞘（腰） 被彻底摧毁了。
| 第1年春第63日7:26:44 上午 | 公路 | 磨损的 <color_c_dark_gray>XX </color>兜裆布 被彻底摧毁了。
| 第1年春第60日8:00:00 上午 | 紧急避难所 | 222一行开始了他们在大灾变中的冒险。
